,Airline_Name,Date_of_Journey,Source,Destination,Total_Stop,Price,Day_of_Journey,Month_of_Journey,Departure_Time_hours,Departure_Time_mins,Arrival_Time_hours,Arrival_Time_mins,Duration_hours,Duration_mins
0,3,8,3,4,2,7308,1,1,13,2,12,1,1,1
1,2,8,3,4,2,7308,1,1,13,4,12,2,1,2
2,0,8,3,4,2,7308,1,1,14,3,13,0,1,3
3,3,8,3,4,2,7308,1,1,15,7,14,5,1,2
4,2,8,3,4,2,7308,1,1,15,8,14,7,1,1
5,3,8,3,4,2,7308,1,1,17,2,15,11,1,3
6,0,8,3,4,2,7308,1,1,17,4,16,0,1,4
7,3,8,3,4,2,7308,1,1,18,5,17,2,1,3
8,2,8,3,4,2,7308,1,1,19,1,18,0,1,1
9,0,8,3,4,2,7308,1,1,19,2,18,0,1,2
10,3,8,3,4,2,7308,1,1,19,9,18,7,1,2
11,0,8,3,4,2,7308,1,1,20,3,19,0,1,3
12,3,8,3,4,2,7308,1,1,20,8,19,6,1,2
13,4,8,3,4,2,7308,1,1,20,11,19,7,1,4
14,1,8,3,4,2,7308,1,1,20,9,19,9,1,0
15,3,8,3,4,2,7308,1,1,21,11,20,7,1,4
16,2,8,3,4,2,7308,1,1,21,11,20,8,1,3
17,2,8,3,4,2,7308,1,1,22,9,21,6,1,3
18,4,8,3,4,2,7308,1,1,0,1,21,11,1,2
19,2,8,3,4,2,7308,1,1,0,10,22,6,1,4
20,2,8,3,4,0,7308,1,1,18,11,10,10,8,1
21,5,8,3,4,2,7309,1,1,18,9,17,7,1,2
22,5,8,3,4,2,7309,1,1,20,11,19,9,1,2
23,5,8,3,4,2,7309,1,1,0,2,21,11,1,3
24,5,8,3,4,2,7309,1,1,0,11,22,9,1,2
25,3,8,3,4,0,7728,1,1,4,10,21,9,7,1
26,5,8,3,4,2,7834,1,1,13,1,11,11,1,2
27,5,8,3,4,2,7834,1,1,13,6,12,5,1,1
28,5,8,3,4,2,7834,1,1,17,1,15,9,1,4
29,5,8,3,4,2,7834,1,1,22,0,20,11,1,1
30,5,8,3,4,2,8359,1,1,15,11,14,8,1,3
31,5,8,3,4,2,8359,1,1,19,8,18,6,1,2
32,3,8,3,4,0,8568,1,1,20,3,15,0,5,3
33,3,9,3,4,2,7308,5,1,3,10,2,8,1,2
34,2,9,3,4,2,7308,5,1,7,1,6,0,1,1
35,3,9,3,4,2,7308,5,1,8,1,7,0,1,1
36,0,9,3,4,2,7308,5,1,8,1,7,0,1,1
37,4,9,3,4,2,7308,5,1,8,7,7,4,1,3
38,3,9,3,4,2,7308,5,1,9,0,7,9,1,3
39,0,9,3,4,2,7308,5,1,9,3,8,0,1,3
40,2,9,3,4,2,7308,5,1,9,5,8,3,1,2
41,3,9,3,4,2,7308,5,1,9,8,8,6,1,2
42,0,9,3,4,2,7308,5,1,10,4,9,0,1,4
43,3,9,3,4,2,7308,5,1,10,8,9,3,1,5
44,2,9,3,4,2,7308,5,1,11,2,9,11,1,3
45,0,9,3,4,2,7308,5,1,11,4,10,0,1,4
46,3,9,3,4,2,7308,5,1,11,4,10,2,1,2
47,4,9,3,4,2,7308,5,1,11,6,10,3,1,3
48,3,9,3,4,2,7308,5,1,13,2,12,1,1,1
49,2,9,3,4,2,7308,5,1,13,4,12,2,1,2
50,3,9,3,4,2,7308,5,1,13,9,12,8,1,1
51,0,9,3,4,2,7308,5,1,14,3,13,0,1,3
52,3,9,3,4,2,7308,5,1,15,7,14,5,1,2
53,2,9,3,4,2,7308,5,1,15,8,14,7,1,1
54,3,9,3,4,2,7308,5,1,17,2,15,11,1,3
55,0,9,3,4,2,7308,5,1,17,4,16,0,1,4
56,3,9,3,4,2,7308,5,1,18,5,17,2,1,3
57,2,9,3,4,2,7308,5,1,19,1,18,0,1,1
58,0,9,3,4,2,7308,5,1,19,2,18,0,1,2
59,3,9,3,4,2,7308,5,1,19,9,18,7,1,2
60,0,9,3,4,2,7308,5,1,20,3,19,0,1,3
61,3,9,3,4,2,7308,5,1,20,8,19,6,1,2
62,4,9,3,4,2,7308,5,1,20,11,19,7,1,4
63,1,9,3,4,2,7308,5,1,20,9,19,9,1,0
64,2,9,3,4,2,7308,5,1,21,11,20,8,1,3
65,2,9,3,4,2,7308,5,1,22,9,21,6,1,3
66,4,9,3,4,2,7308,5,1,0,1,21,11,1,2
67,2,9,3,4,2,7308,5,1,0,10,22,6,1,4
68,3,9,3,4,2,7308,5,1,1,8,23,6,1,2
69,3,9,3,4,0,7308,5,1,4,10,0,7,4,3
70,5,9,3,4,2,7309,5,1,7,1,6,0,1,1
